Arthritt,W
Arthros,W
Artichaut,MW
Artikel,M
artikuléieren,"VRB, HV hunn"
Artillerie,W
Artist,M
artistesch,ADJ
artistesch,ADJ
Artistin,W
arummen,"VRB, HV hunn"
asäckelen,"VRB, HV hunn"
asammelen,"VRB, HV hunn"
asangen,"VRB, HV hunn"
Asaz,M
asazbereet,ADJ
asazfäeg,ADJ
Asbest,M
Asbestplack,W
aschaffen,"VRB, HV hunn"
aschalten,"VRB, HV hunn"
aschären,"VRB, HV hunn"
aschätzen,"VRB, HV hunn"
Aschätzung,W
Äschebecher,M
aschécken,"VRB, HV hunn"
aschéissen,"VRB, HV hunn"
Äschekräiz,S
Äschekräiz,S
Äschen,W
Äschenteller,M
Äschermëttwoch,M
Aschlag,M
aschläichen,"VRB, HV hunn"
aschléiferen,"VRB, HV hunn"
aschleisen,"VRB, HV hunn"
aschléissen,"VRB, HV hunn"
aschloen,"VRB, HV hunn"
aschlofen,"VRB, HV sinn"
aschmëlzen,"VRB, HV hunn"
aschmieren,"VRB, HV hunn"
Aschnëtt,M
aschränken,"VRB, HV hunn"
Aschränkung,W
aschrauwen,"VRB, HV hunn"
aschreiwen,"VRB, HV hunn"
Aschreiwung,W
Äschtchen,M
aschüchteren,"VRB, HV hunn"
aseefen,"VRB, HV hunn"
Aserbaidjan,M
Aserbaidjaner,M
Aserbaidjanerin,W
aserbaidjanesch,ADJ
asetzen,"VRB, HV hunn"
asëtzen,"VRB, HV hunn"
Asiat,M
asiatesch,ADJ
Asiatin,W
asickeren,"VRB, HV sinn"
Asien,S
Asiicht,W
Askees,W
asolperen,"VRB, HV hunn"
asozial,ADJ
aspanen,"VRB, HV hunn"
aspären,"VRB, HV hunn"
Aspegic,W
Aspekt,M
Asperger,M
Asperger-Syndrom,M
Asphalt,M
Aspirin,W
asprangen,"VRB, HV sinn"
asprëtzen,"VRB, HV hunn"
Asprëtzung,W
Aspro,W
Ass,M
Äss,M
Assel,S
Assel,S
assimiléieren,"VRB, HV hunn"
assistéieren,"VRB, HV hunn"
Assistent,M
Assistentin,W
Associatioun,W
Associé,M
Associée,W
associéieren,"VRB, HV hunn"
Assortiment,S
Assurance,W
Assuré,M
Assurée,W
assuréieren,"VRB, HV hunn"
astand,ADV
astanzen,"VRB, HV hunn"
Astat,M
astellen,"VRB, HV hunn"
Astellung,W
astëmmen,"VRB, HV hunn"
Asteroid,M
Asteroid,M
Ästheet,M
ästheetesch,ADJ
Ästheetik,W
Ästhet,M
ästhetesch,ADJ
ästhetesch,ADJ
Ästhetik,W
Ästhetik,W
Asthma,S
Asthmakris,W
astiechen,"VRB, HV hunn"
astoen,"VRB, HV sinn"
astoussen,"VRB, HV hunn"
Astrolog,M
astrologesch,ADJ
Astrologie,W
Astrologin,W
Astronaut,M
Astronaut,M
Astronautin,W
Astronautin,W
Astronom,M
